Question_ID	Keyword
1	Fear
2	Trust
3	Economics
4	Science
5	Illness
6	Illness
7	Healthcare
8	Trust
8	News
9	Social Media
10	Social Media
11	Social Media
12	Science
13	Self-isolation
14	Self-isolation
15	Travel
16	Physical Distancing
17	Physical Distancing
18	Hygiene
19	Healthcare
20	Self-isolation
21	Self-isolation
22	School
23	Science
24	Illness
25	Illness
26	Healthcare
27	Trust
27	News
28	Social Media
29	Social Media
30	Social Media
31	Science
32	Self-isolation
33	Self-isolation
34	Travel
35	Physical Distancing
36	Physical Distancing
37	Hygiene
38	Healthcare
39	Self-isolation
40	Self-isolation
41	School
42	Fear
43	Fear
43	Economics
44	Trust
45	Travel
46	Testing
47	Economics
48	Politics
48	Trust
49	Politics
49	Trust
50	Trust
51	Trust
52	Trust
52	Healthcare
53	Vaccine
54	Vaccine
55	Trust
56	Fear
57	Spread
58	Spread
59	Testing
60	Food
60	Self-isolation
61	Food
62	Travel
63	Physical Distancing
64	Employment
65	Employment
66	Trust
67	Trust
68	Trust
69	Trust
70	Fear
71	Illness
71	Fear
72	Illness
72	Fear
73	Fear
74	Illness
75	Illness
76	Illness
77	Illness
78	Illness
79	Physical Distancing
80	Physical Distancing
81	Physical Distancing
82	Physical Distancing
82	Food
83	Employment
84	Food
85	Self-isolation
86	Employment
87	Employment
88	Employment
89	Employment
90	Economics
90	Employment
91	Economics
91	Employment
92	Physical Distancing
92	Laws
92	Testing
93	Return to Normal
94	Family
94	Physical Distancing
95	Physical Distancing
96	Spread
97	Fear
97	Spread
98	Trust
99	Laws
100	Economics
101	Politics
102	Fear
103	Fear
104	Fear
105	Fear
106	Fear
107	Mental Health
108	Mental Health
109	Mental Health
110	Mental Health
111	Mental Health
112	Mental Health
113	Mental Health
114	Mental Health
115	News
115	Spread
115	Mental Health
116	Politics
117	Vaccine
118	Healthcare
119	Physical Distancing
119	Hygiene
120	Trust
121	Trust
122	Trust
123	Trust
124	Trust
125	Trust
125	News
126	Trust
127	Trust
127	Family
128	News
129	News
130	Physical Distancing
131	Physical Distancing
131	Family
132	Fear
132	Illness
133	Physical Distancing
134	Physical Distancing
134	Self-isolation
135	Return to Normal
136	Testing
137	Post-secondary education
137	School
138	Post-secondary education
138	School
139	Employment
140	News
141	Economics
142	Physical Distancing
143	Testing
144	Economics
145	Fear
146	Family
147	Politics
148	Trust
148	Politics
149	Trust
149	Politics
150	Trust
150	Politics
151	Trust
151	Politics
152	Trust
152	Politics
153	Trust
153	Politics
154	Trust
154	Politics
155	Trust
155	Politics
156	Trust
156	Politics
157	Trust
158	Trust
159	Testing
160	Spread
161	Science
162	Science
163	Hospitals
164	Economics
165	Trust
166	Physical Distancing
167	Physical Distancing
168	Spread
169	Trust
170	Economics
171	Economics
172	Economics
173	Economics
174	Economics
175	Economics
176	Economics
177	Economics
178	Economics
179	Economics
180	Economics
181	Economics
182	Economics
183	Economics
184	Economics
185	Economics
186	Economics
187	Economics
188	Economics
189	Economics
190	Economics
191	Economics
192	Economics
193	Economics
194	Economics
195	Economics
196	Economics
197	Economics
198	Economics
199	Economics
200	Economics
201	Economics
202	Economics
203	Economics
204	Economics
205	Illness
206	Testing
206	Illness
207	Testing
208	News
208	Media
209	News
209	Media
210	Physical Distancing
210	Self-isolation
211	Physical Distancing
212	Physical Distancing
213	Illness
214	School
214	Spread
214	Laws
214	Post-secondary education
215	Restaurants
215	Laws
216	Laws
216	Physical Distancing
217	Food
218	Employment
219	Illness
220	Testing
220	Illness
221	Testing
221	Illness
222	News
222	Media
223	News
223	Media
224	Physical Distancing
224	Self-isolation
225	Physical Distancing
226	Physical Distancing
227	Illness
228	School
228	Spread
228	Laws
228	Post-secondary education
229	Restaurants
229	Laws
230	Laws
230	Physical Distancing
231	Food
232	Employment
233	Spread
233	Illness
233	Fear
234	Politics
235	Politics
236	Politics
236	Trust
237	Politics
238	Spread
238	Illness
239	Physical Distancing
239	Self-isolation
239	Travel
240	Fear
240	Illness
241	Testing
241	Healthcare
242	Healthcare
242	Economics
243	Food
243	Hygiene
244	Return to Normal
245	Economics
245	Politics
246	Fear
246	Trust
247	Social Media
247	Politics
247	News
248	Trust
248	Fear
248	News
249	Physical Distancing
249	Spread
250	Fear
250	Healthcare
250	Employment
250	Economics
250	Illness
251	Economics
251	Healthcare
251	Hygiene
251	Return to Normal
252	Fear
252	Illness
